subtype,n_patients,pct_total,median_surv_days,event_rate
1,3023,43.4%,708.0,32.4%
2,2273,32.6%,890.0,18.7%
3,858,12.3%,603.5,33.1%
4,352,5.1%,773.5,27.0%
5,229,3.3%,779.0,10.9%
6,48,0.7%,633.0,37.5%
7,13,0.2%,485.0,38.5%
8,11,0.2%,652.0,18.2%
9,19,0.3%,832.0,47.4%
10,74,1.1%,1098.0,2.7%
11,63,0.9%,2024.0,12.7%
12,4,0.1%,1577.0,25.0%
