,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15
TCGA-05-4250-01,3.519335406201774,-1.734472700893514,1.1443767998370724,2.4948838767826573,-2.005176939804299,3.5905532267980926,-1.6525344237571837,1.6067682790775568,-0.3772037575151266,-1.1460581642883423,0.686584400680945,0.003436398965813083,0.8930343215031787,-1.1651323619270366,0.5458206777152319
TCGA-05-4382-01,9.941741202477736,-8.102689742982214,1.6932626222244391,7.936072213395832,-0.8552587364948521,3.4648886025633323,1.2227643616679036,-0.8741236323550329,0.6757671369423823,2.6602133938670534,-1.7114724087634205,7.117053116161002,1.54711485521722,2.5703386698627546,-0.16074740197516066
TCGA-05-4384-01,2.419838990524738,2.6104020588312866,1.7329783517152264,2.2458543396069564,-1.523625076694449,1.1150536598725964,-0.3174694820289504,-0.28494008471700455,-0.4276804431338192,0.2939087318770281,-2.0196218257016816,0.5592226824491415,-0.41805625025235943,-0.45936476350550404,-1.240313792999717
TCGA-05-4389-01,7.203100793698195,1.2817430547830744,0.0032375529257952732,2.7310983986494364,1.1642100624175749,-2.9275462348330725,-0.9166375882559624,-3.1172337832534005,-0.09783522975786153,0.31416891512640244,-0.4060326895557861,0.15793187184337884,0.9152732867379656,-0.22569005285444593,-0.5577451567193674
TCGA-05-4390-01,4.161816645883071,-2.9751635286043476,-0.06749683381661246,3.858864413944774,1.1512397656545375,-0.31918203218005553,1.0141963566989838,-1.5923460571381614,0.726541709722242,0.38841283909474067,-1.380995362002342,1.3170809497040434,-0.047936145644022675,0.79395852223306,-0.3717418836515022
TCGA-05-4396-01,7.02630486633227,1.2072404801656107,1.6939400634167625,3.493022041339788,-0.6563243696972231,2.113843754011084,0.7620025990429011,-0.3553263233247297,-1.6547793905778783,0.2361173293814525,-2.153120420253361,-0.3646086448165834,0.5869818725895349,-0.3583654230362881,-1.4057888989082357
TCGA-05-4397-01,-2.2924471149711194,-9.840195134076355,2.3631733141978972,4.040743505965403,-2.8255220074688383,1.1194695621799262,1.9804565985665814,-2.584254343204204,-0.7397750003706297,0.7326061370596251,2.0801814624998185,3.0285384406285023,-1.657804412086657,2.8880998737618753,0.43798831905207825
TCGA-05-4398-01,5.2225280965981655,-6.380370510734827,0.8386096772352912,5.9172462297923465,0.9660647179812186,0.059363517686240964,0.44889910087354123,-1.2598134893179123,0.29452679794515924,1.324535165561397,-0.854265778040022,3.3800226379536107,0.6162609963460708,1.353830189312108,0.4860945843445265
TCGA-05-4402-01,3.267054858302271,-0.7983490775133231,2.4977321044890606,-0.8260529519803264,-5.23666487184362,1.6974034164400165,0.06931568177595086,2.0963309504059477,0.1733979244781241,0.04491696894934104,0.9209221401414451,0.3618624893308644,0.09905882894431056,-0.9151091232291887,-0.20859428072864655
TCGA-05-4403-01,-0.9687407813493515,-0.38686293743282046,-0.7248564077222549,3.2594359932624792,-1.2593468373802803,0.9627483131919812,-2.219504849149353,-0.08402078606367427,-0.16577033492516882,-1.4527353053820016,-1.2420374960335792,-0.005972403482108797,0.2766870653673685,-1.3347296677559113,1.053148033457964
TCGA-05-4405-01,3.74897293494231,-2.1619757772913393,2.6057385961088566,3.713398957673792,-1.1741245908178692,4.262718179936308,0.42610772652400924,1.764092589693151,-0.23472125787497042,1.0649921596121412,-1.7587895458572111,1.2033827934484895,-1.1845382402428108,1.341885774800627,-2.0334647829890997
TCGA-05-4415-01,3.9356083968723135,-3.177096192079109,-1.244289414135348,0.34739873980945646,-0.15272893636572177,1.8336766352498268,-1.9552340399517711,-1.4915969594350398,-0.24492159464802474,-1.4942309324645937,0.005422266715322713,-1.1785693772462886,-0.5078504953229666,-0.6894629911407572,-0.4378452103692944
TCGA-05-4417-01,-7.222466328277998,-5.4722151076632315,1.3334602348160172,3.59963443984447,-1.5995037817671474,2.452525916898007,-1.9840926846468985,2.219933542321508,0.06025783490927518,-1.0128480123932702,-0.31766359634108104,0.6121111381800597,1.9969198092444322,-1.495872695110563,-7.413066360405524
TCGA-05-4418-01,7.361664879309338,-0.8401946477571339,-2.024791571789913,-0.5494541668741089,-2.8946984878540576,3.5798858730293377,-1.983562098869198,0.7732136149053854,-0.20070103314355886,-1.3189204721338637,-1.1389490599168588,0.3719098505065166,1.5222865824023701,-2.7784440323123585,0.4239837244863301
TCGA-05-4420-01,-3.8405846047289485,-4.470271086220739,-0.6797117372970055,2.5489669084619755,-0.18871273286103424,-1.9648024056063955,1.1435906560327185,-1.8271531952922893,0.2737844529682716,-0.5077678303470756,1.128655597252719,0.5466703414011865,-1.4228645901892056,0.26378869678772005,1.045199851546628
TCGA-05-4422-01,5.995670899268396,4.597125812103401,-0.7051606416036426,0.23980106066979814,-3.4147011222257153,1.0145872703050667,0.3986450167363557,-2.6626503317937518,-0.3898156443566951,-0.9285502861125399,1.2619177238835975,-0.7199835835397432,1.330396002024695,0.06383744413849186,-0.9713601791239055
